受访者编号,年级,专业,日常活动区域,活动最晚时间,对校园安全的第一印象,整体安全评价,感到不安的地点/时间,安全威胁经历,安全感受变化,注意到的安全措施,最有安全感的措施,是否使用过安全设施,路径安全设施评价,保安反应评价,安全信息获取渠道,安全提醒有效性,紧急情况处理认知,是否参加过安全教育,理想安全校园描述,额外建议,安全APP期望功能,是否愿意使用安全APP
11,大一,历史学,教学楼、图书馆、食堂,21:00,"图书馆的监控摄像头",较安全,图书馆后巷（21点后）,无,没变化,监控、路灯,监控,否,不足,一般,班级群、公告栏,清晰,不太清楚,否,后巷装路灯+监控,后巷整治,危险区域地图,是
12,大二,化学,实验室、教学楼、宿舍,22:30,"实验室的防爆设施",安全,无,无,变好了,防爆设施、监控、保安,防爆设施,是（使用过应急设备）,充足,良好,学院通知群、邮件,有用,清楚,是,专业安全设施齐全,定期检查设施,实验安全提醒,是
13,大三,英语,教学楼、语音室、宿舍,21:30,"语音室的门禁系统",较安全,语音室楼下（20点后）,曾遇陌生人搭讪,变差了,门禁、监控,门禁,否,一般,较慢,同学告知、公告栏,一般,清楚,否,增加楼下路灯,加强该区域巡逻,陌生人举报功能,是
14,大四,土木工程,教学楼、工地、宿舍,22:00,"工地旁的围栏和警示",较安全,工地周边（傍晚）,无,没变化,围栏、警示、保安,围栏,否,充足,一般,学院通知,清晰,清楚,是,工地隔离更彻底,增加警示标志,施工区域实时提示,是
15,研究生,心理学,教学楼、咨询室、宿舍,21:00,"咨询室的安静环境",安全,无,无,变好了,监控、保安,保安,否,充足,良好,邮件、班级群,有用,清楚,是,人员友善+环境舒适,增加心理安全宣传,心理支持热线,是
16,大一,数学,教学楼、图书馆、宿舍,22:00,"图书馆的夜间照明",较安全,图书馆侧门（21点后）,无,没变化,路灯、监控,路灯,否,一般,不清楚,学校APP、公告栏,一般,不太清楚,否,侧门加监控,增加侧门照明,夜间开门提醒,是
17,大二,生物科学,实验室、教学楼、食堂,23:00,"实验室的安全警报器",安全,无,无,变好了,警报器、监控、保安,警报器,是（误触过警报器）,充足,良好,学院通知、邮件,清晰,清楚,是,警报系统灵敏,定期演练,实验紧急处理指南,是
18,大三,艺术设计,教学楼、画室、宿舍,22:30,"画室的门禁卡系统",较安全,画室到宿舍的小路（22点后）,无,变差了,门禁、路灯,门禁,否,不足,一般,同学告知、公告栏,不清晰,清楚,否,小路装路灯,增加巡逻,同行请求功能,是
19,大四,经济学,教学楼、报告厅、宿舍,21:00,"报告厅的安检人员",安全,无,无,没变化,安检、监控,安检,否,充足,良好,邮件、学校APP,有用,清楚,是,保持安检力度,增加安检频次,活动安全提示,是
20,研究生,电气工程,实验室、教学楼、宿舍,凌晨0:30,"实验室的24小时监控",较安全,实验室楼下（深夜）,无,变好了,监控、保安、紧急按钮,监控,否,一般,较快,学院通知群,清晰,清楚,否,深夜保安巡逻,楼下装报警柱,夜间安全护送预约,是
